+	Ohthere	Ohthere	ohthere
-	secgan	sæde	sæd
-	his	his	hit
+	hlaford	hlaforde	hlaford
+	Ælfred	Ælfrede	ælfred
-	cyning	cyninge	cyninge
+	þæt	þæt	þæt
+	he	he	he
-	eal	ealra	eall
+	Norþmann	Norðmonna	norþmann
+	norþ	norþmest	norþ
+	buan	bude	buan
+	he	He	he
-	cweþan	cwæð	cweðan
+	þæt	þæt	þæt
+	he	he	he
+	buan	bude	buan
+	on	on	on
-	se	þæm	þæm
+	land	lande	land
+	norþeweard	norþweardum	norþeweard
+	wiþ	wiþ	wiþ
-	se	þa	þu
+	Westsæ	Westsæ	westsæ
+	he	He	he
-	secgan	sæde	sæd
-	þeah	þeah	þiсgan
+	þæt	þæt	þæt
-	se	þæt	þæt
+	land	land	land
+	wesan	sie	wesan
-	swiðe	swiþe	swiþe
+	lang	lang	lang
+	norþ	norþ	norþ
+	þanan	þonan	þanan
-	ac	ac	acan
+	hit	hit	hit
+	wesan	is	wesan
+	eal	eal	eal
+	weste	weste	weste
+	butan	buton	butan
+	on	on	on
+	feawa	feawum	feawa
+	stow	stowum	stow
+	styccemælum	styccemælum	styccemælum
+	wician	wiciað	wician
+	Finn	Finnas	finn
+	on	on	on
+	huntaþ	huntoðe	huntaþ
+	on	on	on
-	winter	wintra	wintra
+	&	&	None
+	on	on	on
+	sumer	sumera	sumer
+	on	on	on
+	fiscaþ	fiscaþe	fiscaþ
+	be	be	be
-	se	þære	þære
+	sæ	sæ	sæ
+	he	He	he
-	secgan	sæde	sæd
+	þæt	þæt	þæt
+	he	he	he
+	æt	æt	æt
+	sum	sumum	sum
+	cyrr	cirre	cyrr
+	willan	wolde	willan
+	fandian	fandian	fandian
+	hu	hu	hu
-	lange	longe	long
-	se	þæt	þæt
+	land	land	land
+	norþrihte	norþryhte	norþrihte
-	licgan	læge	liсgan
-	oððe	oþþe	oþþe
+	hwæðer	hwæðer	hwæðer
+	ænig	ænig	ænig
+	mann	mon	mann
+	be	be	be
+	norþan	norðan	norþan
-	se	þæm	þæm
+	westen	westenne	westen
+	buan	bude	buan
+	þa	Þa	þa
-	faran	for	for
+	he	he	he
+	norþrihte	norþryhte	norþrihte
+	be	be	be
-	se	þæm	þæm
+	land	lande	land
+	lætan	let	lætan
-	he	him	him
-	eal	ealne	eall
-	weg	weg	wegan
-	se	þæt	þæt
+	weste	weste	weste
+	land	land	land
+	on	on	on
-	se	ðæt	þæt
+	steorbord	steorbord	steorbord
+	&	&	None
-	se	þa	þu
+	widsæ	widsæ	widsæ
+	on	on	on
-	se	ðæt	þæt
+	bæcbord	bæcbord	bæcbord
-	þri	þrie	þrie
+	dæg	dagas	dæg
+	þa	Þa	þa
+	wesan	wæs	wesan
+	he	he	he
+	swa	swa	swa
+	feor	feor	feor
+	norþ	norþ	norþ
+	swa	swa	swa
-	se	þa	þu
+	hwælhunta	hwælhuntan	hwælhunta
+	feor	firrest	feor
+	faran	faraþ	faran
+	þa	Þa	þa
-	faran	for	for
+	he	he	he
-	þa	þa	þu
+	git	giet	git
+	norþrihte	norþryhte	norþrihte
+	swa	swa	swa
+	feor	feor	feor
+	swa	swa	swa
+	he	he	he
+	magan	meahte	magan
+	on	on	on
-	se	þæm	þæm
+	oþrum	oþrum	oþrum
+	þri	þrim	þri
+	dæg	dagum	dæg
+	geseglian	gesiglan	geseglian
+	þa	Þa	þa
+	bugan	beag	bugan
-	se	þæt	þæt
+	land	land	land
+	þær	þær	þær
+	eastrihte	eastryhte	eastrihte
-	oððe	oþþe	oþþe
-	se	seo	seon
+	sæ	sæ	sæ
+	in	in	in
+	on	on	on
-	se	ðæt	þæt
+	land	lond	land
+	he	he	he
-	ne	n	næs
-	witan	ysse	None
+	hwæðer	hwæðer	hwæðer
+	butan	buton	butan
+	he	he	he
+	witan	wisse	witan
+	þæt	ðæt	þæt
+	he	he	he
+	þær	ðær	þær
+	bidan	bad	bidan
+	westanwind	westanwindes	westanwind
+	&	&	None
+	hwon	hwon	hwon
+	norþan	norþan	norþan
+	&	&	None
-	seglan	siglde	siglan
-	þa	ða	þe
+	east	east	east
+	be	be	be
+	land	lande	land
+	swa	swa	swa
+	swa	swa	swa
+	he	he	he
+	magan	meahte	magan
+	on	on	on
+	feower	feower	feower
+	dæg	dagum	dæg
+	geseglian	gesiglan	geseglian
+	þa	Þa	þa
+	sculan	sceolde	sculan
