+	mag	Mæg	mag
+	gehyran	gehyran	gehyran
+	se	se	se
-	þe	ðe	þu
-	willan	wyle	None
+	be	be	be
-	se	þam	þæm
+	halig	halgan	halig
-	mægden	mædene	mæden
+	Eugenia	Eugenian	eugenia
+	Philippus	Philyppus	philippus
-	dohtor	dæhter	None
+	hu	hu	hu
+	heo	heo	heo
+	þurh	ðurh	þurh
+	mægþhad	mægðhad	mægþhad
+	mærlice	mærlice	mærlice
-	þeon	þeah	þiсgan
+	and	and	and
+	þurh	þurh	þurh
+	martyrdom	martyrdom	martyrdom
+	þes	þisne	þes
-	middangeard	middaneard	None
+	oferswiðan	oferswað	oferswiðan
+	sum	Sum	sum
+	æþelboren	æþelboren	æþelboren
-	þegen	þægn	None
+	wesan	wæs	wesan
+	Philippus	Philippus	philippus
-	gehatan	gehaten	hatan
+	se	ðone	se
+	asendan	asende	asendan
+	se	se	se
+	Casere	casere	casere
+	Commodus	Commodus	commodus
-	þe	þe	þu
+	on	on	on
-	se	ðam	ðam
+	dæg	dagum	dæg
-	ricsian	rixode	None
+	fram	fram	fram
+	Romeburh	Rome.byrig	romeburh
-	to	to	toh
+	se	ðære	se
+	burh	byrig	burh
-	þe	ðe	þu
+	wesan	is	wesan
-	gehatan	gehaten	hatan
+	Alexandria	Alexandria	alexandria
+	and	And	and
+	he	he	he
+	he	hine	he
-	gesettan	gesette	gesette
-	to	to	toh
+	heahgerefa	heahgerefan	heahgerefa
+	ofer	ofer	ofer
+	Alexandria	Alexandrian	alexandria
+	and	and	and
+	Egipte	Ægyfto	egipte
+	land	lande	land
+	and	and	and
-	hatan	het	hettan
+	þæt	þæt	þæt
+	he	he	he
+	healdan	heolde	healdan
-	se	þa	þu
+	Romanisc	romaniscan	romanisc
+	gesetnes	gesætnysse	gesetnes
+	þes	Ðæs	þes
-	þegen	ðægn	None
+	Philippus	Philippus	philippus
-	ne	n	næs
-	wesan	æs	æs
+	na	na	na
+	gefullian	gefullod	gefullian
+	on	on	on
+	God	Gode	god
+	forðam	forþan	forðam
-	þe	þe	þu
+	Cristendom	cristendom	cristendom
-	ne	n	næs
-	wesan	æs	æs
-	þa	þa	þu
+	git	gyt	git
+	geond	geond	geond
-	eal	eall	eall
-	cunnan	cuð	None
+	and	and	and
-	se	seo	seon
-	reðe	reþe	reþe
+	eahtnes	æhtnyss	eahtnes
-	þa	þa	þu
+	git	gyt	git
-	ne	n	næs
-	wesan	æs	æs
+	gestillan	gestylled	gestillan
+	his	His	his
+	wif	wif	wif
+	wesan	wæs	wesan
+	gecigan	gecyged	gecigan
+	Claudia	Claudia	claudia
+	be	be	be
-	se	þære	þære
+	he	he	he
+	gestrynan	gestrynde	gestrynan
-	twegen	twægen	twægen
+	sunu	suna	sunu
+	Auitus	Auitum	auitus
+	and	and	and
+	Særgius	Særgium	særgius
+	and	and	and
+	an	ane	an
+	dohtor	dohtor	dohtor
+	Eugenia	Eugenian	eugenia
-	þe	þe	þu
+	we	we	we
+	ymb	embe	ymb
-	sprecan	spræcaþ	None
-	se	Ða	þa
+	befæstan	befæste	befæstan
+	se	se	se
+	fæder	fæder	fæder
+	Philippus	Philippus	philippus
-	to	to	toh
+	lar	lare	lar
+	þæt	þæt	þæt
+	heo	heo	heo
+	on	on	on
+	weoroldwisdom	woruldwysdome	weoroldwisdom
-	wesan	wære	wære
-	geteon	getogen	teon
+	æfter	æfter	æfter
+	Grecisc	greciscre	grecisc
+	uþwitigung	uðwytegunge	uþwitigung
+	and	and	and
+	Læden	lædenre	læden
+	getingness	getingnysse	getingness
+	Eugenia	Eugenia	eugenia
-	þa	þa	þu
-	se	þæt	þæt
+	æðele	æðele	æðele
-	mægden	mæden	mæden
+	wel	wel	wel
-	þeon	þeah	þiсgan
+	on	on	on
+	wisdom	wisdome	wisdom
+	and	and	and
+	on	on	on
+	uþwitigung	uðwytegunge	uþwitigung
+	þa	Þa	þa
+	becuman	becom	becuman
-	heo	hyre	hyrian
+	on	on	on
+	hand	hand	hand
+	se	þæs	se
+	halig	halgan	halig
+	apostol	apostoles	apostol
+	lar	lar	lar
+	Paulus	Paules	paulus
+	se	þæs	se
+	mære	mæran	mære
-	eal	ealles	eall
+	manncynn	manncynnes	manncynn
+	lareow	lareowes	lareow
+	þa	Þa	þa
-	weorþan	wearð	None
-	hire	hyre	hyrian
+	mod	mod	mod
+	micel	mycclum	micel
+	onbryrdan	onbryrd	onbryrdan
+	þurh	þuruh	þurh
-	se	þa	þu
-	halig	halgen	None
+	lar	lare	lar
-	þeah	þeah	þiсgan
-	þe	ðe	þu
+	heo	heo	heo
-	þa	þa	þu
+	git	gyt	git
+	hæðen	hæðen	hæðen
-	wesan	wære	wære
+	heo	Heo	heo
-	biddan	bæd	bædan
-	þa	þa	þu
-	hire	hyre	hyrian
+	fæder	fæder	fæder
+	þæt	þæt	þæt
+	heo	heo	heo
-	feran	færen	None
+	motan	moste	motan
+	geond	geond	geond
-	his	his	hit
+	ham	hames	ham
+	on	on	on
+	Alexandisc	Alexandiscre	alexandisc
+	scir	scyre	scir
-	willan	Wolde	None
+	swa	swa	swa
+	cepan	cepan	cepan
-	se	þære	þære
+	cristen	cristenra	cristen
+	lar	lare	lar
+	forðam	forðan	forðam
-	þe	þe	þu
+	heo	heo	heo
-	ne	n	næs
-	habban	æfde	None
+	on	on	on
+	se	ðære	se
+	burh	byrig	burh
+	nan	nænne	nan
-	geleafful	geleaffulne	geleaffull
+	mann	mann	mann
-	þe	þe	þu
-	heo	hi	hi
+	læran	læren	læran
