Mæg	None
gehyran	gehyran
se	None
ðe	None
wyle	None
be	None
þam	None
halgan	halig
mædene	mæden
Eugenian	None
Philyppus	None
dæhter	None
hu	None
heo	None
ðurh	None
mægðhad	None
mærlice	None
þeah	þiсgan
and	None
þurh	None
martyrdom	martyrdom
þisne	None
middaneard	None
oferswað	None
Sum	None
æþelboren	æþelboren
þægn	None
wæs	wesan
Philippus	None
gehaten	hatan
ðone	None
asende	None
se	None
casere	casere
Commodus	None
þe	None
on	None
ðam	None
dagum	dæg
rixode	None
fram	None
Rome.byrig	None
to	toh
ðære	None
byrig	None
ðe	None
is	wesan
gehaten	hatan
Alexandria	None
And	None
he	None
hine	None
gesette	gesettan
to	toh
heahgerefan	None
ofer	ofer
Alexandrian	None
and	None
Ægyfto	None
lande	land
and	None
het	hettan
þæt	None
he	None
heolde	healdan
þa	None
romaniscan	None
gesætnysse	None
Ðæs	None
ðægn	None
Philippus	None
n	None
æs	æs
na	None
gefullod	None
on	None
Gode	None
forþan	None
þe	None
cristendom	cristendom
n	None
æs	æs
þa	None
gyt	None
geond	None
eall	eall
cuð	None
and	None
seo	seon
reþe	reþe
æhtnyss	None
þa	None
gyt	None
n	None
æs	æs
gestylled	None
His	None
wif	wif
wæs	wesan
gecyged	None
Claudia	None
be	None
þære	None
he	None
gestrynde	None
twægen	None
suna	sunu
Auitum	None
and	None
Særgium	None
and	None
ane	an
dohtor	dohtor
Eugenian	None
þe	None
we	None
embe	None
spræcaþ	None
Ða	None
befæste	befæstan
se	None
fæder	fæder
Philippus	None
to	toh
lare	lar
þæt	None
heo	None
on	None
woruldwysdome	None
wære	wær
getogen	teon
æfter	None
greciscre	None
uðwytegunge	None
and	None
lædenre	læden
getingnysse	None
Eugenia	None
þa	None
þæt	None
æðele	æðele
mæden	mæden
wel	None
þeah	þiсgan
on	None
wisdome	wisdom
and	None
on	None
uðwytegunge	None
Þa	None
becom	becuman
hyre	hyrian
on	None
hand	hand
þæs	None
halgan	halig
apostoles	apostol
lar	lar
Paules	None
þæs	None
mæran	mære
ealles	eall
manncynnes	None
lareowes	lareow
Þa	None
wearð	None
hyre	hyrian
mod	mod
mycclum	None
onbryrd	None
þuruh	None
þa	None
halgen	None
lare	lar
þeah	þiсgan
ðe	None
heo	None
þa	None
gyt	None
hæðen	None
wære	wær
Heo	None
bæd	bædan
þa	None
hyre	hyrian
fæder	fæder
þæt	None
heo	None
færen	None
moste	motan
geond	None
his	None
hames	None
on	None
Alexandiscre	None
scyre	None
Wolde	None
swa	None
cepan	cepan
þære	None
cristenra	cristen
lare	lar
forðan	None
þe	None
heo	None
n	None
æfde	None
on	None
ðære	None
byrig	None
nænne	None
geleaffulne	geleaffull
mann	mann
þe	None
hi	None
læren	læran
cuþe	cuþ
forðan	None
Philippus	None
aflygde	None
þa	None
cristenan	cristen
of	None
Alexandrian	None
ealle	eall
on	None
ær	ær
Hwæt	None
þa	None
EVGENIA	None
ardlice	None
færde	None
oð	None
þæt	None
heo	None
becom	becuman
þær	None
ða	None
cristenan	cristen
sungen	singan
mid	None
mycelre	None
blisse	bliss
þus	None
mærsigende	None
God	None
Omnes	None
dii	None
gentium	None
demonia	None
dominus	None
autem	None
cælos	None
fecit	None
Ealle	None
þære	None
hæðenra	None
godas	god
syndon	None
deofla	deofol
and	None
Dryhten	None
soðlice	None
heofonas	heofon
geworhte	gewyrсean
Eugenia	None
þa	None
mycclum	None
wearð	None
onbryrd	None
and	None
mid	None
wope	wop
gespræc	gesprecan
hire	None
twægen	None
cnihtas	None
þære	None
naman	nama
wæron	wesan
Protus	None
et	etan
Iacinctus	None
Þa	None
wæron	wesan
gelærede	gelæred
on	None
Leden	None
and	None
on	None
grecisc	None
mid	None
Eugenian	None
mid	None
woruldlicra	woruldliс
lare	lar
and	None
wæron	wesan
eunuchi	None
þæt	None
synt	None
belisnode	None
and	None
wæron	wesan
heora	heore
hlæfdige	hlæfdige
holde	hold
and	None
getrywe	None
Ða	None
nam	None
Eugenia	None
hi	None
on	None
sundorspræce	None
het	hettan
hi	None
gebroðra	None
and	None
bæd	bædan
þæt	None
hi	None
hyre	hyrian
fæx	None
forcurfon	forсeorfan
on	None
wæpmonna	None
wysan	None
and	None
mid	None
wædum	None
gehiwodon	gehiwian
swylce	None
heo	None
cniht	cniht
wære	wær
Wolde	None
ðam	None
cristenan	cristen
genealecan	None
on	None
wærlicum	None
hiwe	hiw
þæt	None
heo	None
ne	neh
wurde	weorþan
ameldod	None
Hi	None
færdon	None
ða	None
þry	None
and	None
heora	heore
gefæran	None
forleton	forlætan
oð	None
þæt	None
hi	None
becoman	None
to	toh
ðære	None
cristenra	cristen
wununge	wunung
þær	None
hi	None
dæges	dæg
and	None
nihtes	None
heora	heore
Drihten	None
heroden	None
On	None
ðam	None
ylcan	None
dæge	dæge
com	cuman
sum	su
bisceop	None
Helenus	None
gehaten	hatan
haliges	halig
lifes	lif
mid	None
mycelre	None
meniu	None
anmodlice	None
singende	singan
Uia	None
iustorum	None
recta	None
facta	None
est	est
et	etan
iter	None
sanctorum	None
preparata	None
est	est
þæt	None
is	wesan
þæra	None
rihtwisra	rihtwis
wæg	wegan
is	wesan
gerihtlæced	None
and	None
þæra	None
halgena	halig
siðfæt	None
is	wesan
gegearcod	gearcian
Þes	None
bisceop	None
worhta	None
fæla	fæle
wundra	wundrian
þuruh	None
God	None
and	None
him	None
wearð	None
geswutelod	geswutelian
on	None
swæfne	None
be	None
þysum	None
and	None
eall	eall
þæs	None
mædenes	mæden
mod	mod
him	None
wearð	None
ameldod	None
Ða	None
gespræc	gesprecan
þæt	None
mæden	mæden
sumne	None
messepreost	None
Eutropius	None
gehaten	hatan
þæt	None
he	None
hyre	hyrian
ærende	ærende
abude	abeodan
þam	None
bisceope	None
þysum	None
wordum	word
geornlice	None
we	None
ðry	None
gebroðra	None
wyllað	None
gecyrran	None
fram	None
þam	None
fulan	ful
hæðenscype	None
to	toh
hælende	hælend
Criste	Crist
and	None
we	None
n	None
ellað	None
nateshwon	None
us	None
næfre	None
totweman	None
Þa	None
þæs	None
on	None
mergen	None
se	None
mæssepreost	None
abead	abeodan
þæs	None
mædenes	mæden
word	word
þam	None
mæron	None
bisceope	None
Þa	None
het	hettan
se	None
bisceop	None
hi	None
gelangian	None
mycclum	None
þanciende	þancian
þam	None
ælmihtigan	ælmihtig
Gode	None
þæt	None
he	None
wolde	willan
him	None
onwreon	onwreon
þæs	None
mædenes	mæden
wyllan	None
He	None
genam	None
hi	None
þa	None
onsundron	None
and	None
sæde	sæd
hyre	hyrian
gewislice	None
hwæt	None
heo	None
man	munan
ne	neh
wæs	wesan
and	None
hwylcere	None
mægþe	mægþ
and	None
þæt	None
heo	None
þurh	None
mægðhad	None
mycclum	None
gelicode	gelician
þam	None
heofonlican	None
cyninge	cyninge
þe	None
heo	None
gecoren	сeosan
hæfde	habban
and	None
cwæð	cweðan
þæt	None
heo	None
sceolde	None
swiðlice	None
æhtnyssa	None
for	for
mægðhade	None
ðrowian	None
and	None
þeah	þiсgan
beon	beon
gescyld	None
þurh	None
þone	None
soðan	soð
Drihten	None
þe	None
gescylt	None
his	None
gecorenan	None
To	None
hire	None
twam	None
cnihtum	None
he	None
cwæð	cweðan
þæt	None
hi	None
heoldan	None
æþelborennyss	None
on	None
mode	mod
þeah	þiсgan
þe	None
hi	None
mannum	mann
þeowdon	þeowan
and	None
cwæð	cweðan
þæt	None
hi	None
Crist	Crist
gespræce	gesprecan
þysum	None
godspellicum	None
wordum	word
Ne	None
hate	hatan
ic	None
eow	eowan
na	None
þeowan	þeowan
ac	acan
ge	None
synd	None
mine	None
freond	freond
Þa	None
bebead	bebeodan
se	None
biscop	None
þam	None
gebogenan	None
mædene	mæden
þæt	None
heo	None
swa	None
þurhwunade	None
on	None
þam	None
wærlicum	None
hiwe	hiw
oþ	None
þæt	None
hi	None
on	None
fante	None
gefullode	None
wurdon	weorþan
and	None
mynsterlicre	None
drohtnunge	None
dearnunge	None
geþeodde	geþeodan
Eugenia	None
þa	None
wunode	wunian
on	None
þam	None
mynstre	None
mid	None
wærlicum	None
mode	mod
þeah	þiсgan
þe	None
heo	None
mæden	mæden
wære	wær
mid	None
hyre	hyrian
twam	None
cnihtum	None
uncuð	None
gehwam	None
And	None
heold	healdan
on	None
hyre	hyrian
þeawum	þeaw
halige	halig
drohtnunge	None
ðurh	None
modes	mod
liþnesse	None
and	None
mycelre	None
eadmodnesse	None
and	None
þurh	None
halige	halig
mægnu	mægen
þam	None
hælende	hælend
gecwæmde	None
Heo	None
þeah	þiсgan
on	None
lare	lar
þæs	None
rihtan	rihtan
geleafan	geleafa
and	None
on	None
godcundlicum	None
gewrytum	None
mid	None
godum	god
wyllan	None
and	None
wearð	None
awend	awendan
of	None
wulfe	wulf
to	toh
sceape	None
Hyre	None
geeuenlæhton	None
eac	eacan
hyre	hyrian
cnihtas	None
Protus	None
et	etan
Iacinctus	None
on	None
synderlicre	synderliс
drohtnunge	None
and	None
hyre	hyrian
digolnysse	None
eallum	eall
bedyrndon	None
Philippus	None
ða	None
se	None
fæder	fæder
forwearð	None
on	None
mode	mod
and	None
seo	seon
modor	modor
Claudia	None
mid	None
murcnunge	None
wæs	wesan
fornumen	forniman
and	None
eall	eall
seo	seon
mægð	None
on	None
mode	mod
wearð	None
astyred	astyrian
and	None
sohten	sœ̄сan
þæt	None
mæden	mæden
mid	None
mycelre	None
sarnysse	None
Hi	None
axoden	axian
æt	etan
wyccum	None
and	None
æt	etan
wisum	wise
dryum	None
eac	eacan
æt	etan
heora	heore
leasum	leas
godum	god
be	None
þære	None
Godes	None
þinene	None
Him	None
wearð	None
þa	None
gesæd	None
to	toh
soþum	soþ
þinge	þingan
þæt	None
ða	None
godes	god
hi	None
gegripon	gegripan
for	for
hyre	hyrian
godnysse	None
Þa	None
gelyfde	gelyfan
se	None
fæder	fæder
þære	None
leasunga	None
and	None
het	hettan
asmiðigen	None
of	None
smætum	None
golde	gold
hyre	hyrian
anlycnysse	None
and	None
þa	None
wurðode	None
swa	None
swa	None
halige	halig
gydenan	None
ac	acan
hit	None
wæs	wesan
gold	gold
swa	None
þeah	þiсgan
Þa	None
æfter	None
þrym	None
gearum	gear
þæs	None
þe	None
heo	None
gecyrred	None
wæs	wesan
gewat	gewitan
se	None
abbod	None
þe	None
hyre	hyrian
ealdor	ealdor
wæs	wesan
And	None
þa	None
gebroðra	None
sona	None
ceosan	None
ongunnen	onginnan
Eugenian	None
to	toh
abbude	None
for	for
hyre	hyrian
arfæstan	arfæst
life	lif
and	None
n	None
yston	ystan
þæt	None
heo	None
wæs	wesan
wimman	None
swa	None
þeah	þiсgan
Ða	None
wearð	None
þæt	None
mæden	mæden
mycclum	None
hohful	None
hu	None
heo	None
æfre	None
wæras	None
wissian	None
sceolde	None
Ne	None
dorste	durran
swa	None
þeah	þiсgan
hi	None
ealle	eall
gedrefan	None
and	None
hyra	hyr
geþeaht	þeссean
forseon	forseon
ac	acan
fæng	None
to	toh
ðam	None
hade	had
Hwæt	None
ða	None
Eugenia	None
hym	None
eallum	eall
gebysnode	None
mid	None
goddre	None
gedrohtnunge	None
to	toh
Godes	None
þeowdome	þeowdom
and	None
mid	None
carfulnysse	None
þonne	None
hyred	None
gewissode	None
Hyre	None
geuðe	None
þa	None
se	None
ælmihtiga	ælmihtig
wealdend	None
þæt	None
heo	None
untrume	untrum
menn	mann
mihte	miht
gehælan	gehælan
swa	None
hwylcne	None
swa	None
heo	None
geneosode	None
licgende	None
on	None
sare	sar
Heo	None
aflygde	None
eac	eacan
swylce	None
þa	None
fulan	ful
