Mæg	mag
gehyran	gehyran
se	se
ðe	þu|þe|ðe
wyle	None
be	be
þam	þæm|þam|se
halgan	halig|halga|haleg
mædene	mæden
Eugenian	eugenia
Philyppus	philippus
dæhter	None
hu	hu
heo	heo
ðurh	þurh|ðurh
mægðhad	mægþhad
mærlice	mærlice
þeah	þiсgan|þicgan|þeon|þeah
and	and
þurh	þurh
martyrdom	martyrdom
þisne	þes
middaneard	None
oferswað	oferswiðan
Sum	sum
æþelboren	æþelboren
þægn	None
wæs	wesan|seon|beon
Philippus	philippus
gehaten	hatan|gehatan
ðone	se
asende	asendan
se	se
casere	casere|caser
Commodus	commodus
þe	þu|þe|se
on	on|an
ðam	ðam|se
dagum	dæg|dah|dag
rixode	None
fram	fram
Rome.byrig	romeburh
to	toh|to
ðære	se
byrig	burh|burg
ðe	þu|þe|ðe
is	wesan|seon|is
gehaten	hatan|gehatan
Alexandria	alexandria
And	and
he	he
hine	he
gesette	gesette|gesettan
to	toh|to
heahgerefan	heahgerefa
ofer	ofer
Alexandrian	alexandria
and	and
Ægyfto	egipte
lande	land|finna
and	and
het	hettan|het|hedan|hatan
þæt	þæt|se
he	he
heolde	healdan
þa	þu|þa|se
romaniscan	romanisc
gesætnysse	gesetnes
Ðæs	þes|se
ðægn	None
Philippus	philippus
n	næs|ne
æs	æs
na	na
gefullod	gefullian
on	on|an
Gode	god
forþan	forðam
þe	þu|þe|se
cristendom	cristendom
n	næs|ne
æs	æs
þa	þu|þa|se
gyt	git
geond	geond
eall	eall|eal
cuð	None
and	and
seo	seon|seo|se
reþe	reþe|reðe
æhtnyss	eahtnes
þa	þu|þa|se
gyt	git
n	næs|ne
æs	æs
gestylled	gestillan
His	his
wif	wif
wæs	wesan|seon|beon
gecyged	gecigan
Claudia	claudia
be	be
þære	þære|se
he	he
gestrynde	gestrynan
twægen	twægen|twegen
suna	sunu
Auitum	auitus
and	and
Særgium	særgius
and	and
ane	an
dohtor	dohtor
Eugenian	eugenia
þe	þu|þe|se
we	we
embe	ymb
spræcaþ	None
Ða	þa|se
befæste	befæstan
se	se
fæder	fæder
Philippus	philippus
to	toh|to
lare	lar
þæt	þæt|se
heo	heo
on	on|an
woruldwysdome	weoroldwisdom
wære	wære|wær|wesan|seon|beon
getogen	teon|geteon
æfter	æfter
greciscre	grecisc
uðwytegunge	uþwitigung
and	and
lædenre	læden
getingnysse	getingness
Eugenia	eugenia
þa	þu|þa|se
þæt	þæt|se
æðele	æðele
mæden	mæden|mecgan
wel	wel
þeah	þiсgan|þicgan|þeon|þeah
on	on|an
wisdome	wisdom
and	and
on	on|an
uðwytegunge	uþwitigung
Þa	þa|se
becom	becuman
hyre	hyrian|hyre|hyran|hyr|hire|heo
on	on|an
hand	hand
þæs	se
halgan	halig|halga|haleg
apostoles	apostol
lar	lar
Paules	paulus
þæs	se
mæran	mære|mæran
ealles	eall|eal
manncynnes	manncynn
lareowes	lareow
Þa	þa|se
wearð	None
hyre	hyrian|hyre|hyran|hyr|hire|heo
mod	mod
mycclum	micel
onbryrd	onbryrdan
þuruh	þurh
þa	þu|þa|se
halgen	None
lare	lar
þeah	þiсgan|þicgan|þeon|þeah
ðe	þu|þe|ðe
heo	heo
þa	þu|þa|se
gyt	git
hæðen	hæðen
wære	wære|wær|wesan|seon|beon
Heo	heo
bæd	bædan|biddan
þa	þu|þa|se
hyre	hyrian|hyre|hyran|hyr|hire|heo
fæder	fæder
þæt	þæt|se
heo	heo
færen	None
moste	motan
geond	geond
his	hit|his|he
hames	ham
on	on|an
Alexandiscre	alexandisc
scyre	scir
Wolde	None
swa	swa
cepan	cepan
þære	þære|se
cristenra	cristen
lare	lar
forðan	forðam
þe	þu|þe|se
heo	heo
n	næs|ne
æfde	None
on	on|an
ðære	se
byrig	burh|burg
nænne	nan
geleaffulne	geleaffull|geleafful
mann	mann
þe	þu|þe|se
hi	hi|heo
læren	læran|lesan
cuþe	cuþ|cunnan
forðan	forðam
Philippus	philippus
aflygde	afleon
þa	þu|þa|se
cristenan	cristen
of	of
Alexandrian	alexandria
ealle	ealle|eall|eal
on	on|an
ær	ær
Hwæt	None
þa	þu|þa|se
EVGENIA	eugenia
ardlice	arodlice
færde	None
oð	oþ|oð
þæt	þæt|se
heo	heo
becom	becuman
þær	þær
ða	þe|þa|ða|se
cristenan	cristen
sungen	singan
mid	mid
mycelre	micel
blisse	bliss|blis
þus	þus
mærsigende	mærsian
God	god
Omnes	omnes
dii	dii
gentium	gentium
demonia	demonia
dominus	dominus
autem	autem
cælos	cælos
fecit	fecit
Ealle	eal
þære	þære|se
hæðenra	hæðen
godas	gripe|god|ben
syndon	None
deofla	deofol
and	and
Dryhten	dryhten
soðlice	soþlice|soðlice
heofonas	heofon
geworhte	gewyrсean|gewyrсan|gewyrcan
Eugenia	eugenia
þa	þu|þa|se
mycclum	micel
wearð	None
onbryrd	onbryrdan
and	and
mid	mid
wope	wop
gespræc	gesprecan
hire	hire|heo
twægen	twægen|twegen
