+	mag	Mæg	mag
+	gehyran	gehyran	gehyran
+	se	se	se
+	þe	ðe	þu|þe|ðe
-	willan	wyle	None
+	be	be	be
+	se	þam	þæm|þam|se
+	halig	halgan	halig|halga|haleg
-	mægden	mædene	mæden
+	Eugenia	Eugenian	eugenia
+	Philippus	Philyppus	philippus
-	dohtor	dæhter	None
+	hu	hu	hu
+	heo	heo	heo
+	þurh	ðurh	þurh|ðurh
+	mægþhad	mægðhad	mægþhad
+	mærlice	mærlice	mærlice
+	þeon	þeah	þiсgan|þicgan|þeon|þeah
+	and	and	and
+	þurh	þurh	þurh
+	martyrdom	martyrdom	martyrdom
+	þes	þisne	þes
-	middangeard	middaneard	None
+	oferswiðan	oferswað	oferswiðan
+	sum	Sum	sum
+	æþelboren	æþelboren	æþelboren
-	þegen	þægn	None
+	wesan	wæs	wesan|seon|beon
+	Philippus	Philippus	philippus
+	gehatan	gehaten	hatan|gehatan
+	se	ðone	se
+	asendan	asende	asendan
+	se	se	se
+	Casere	casere	casere|caser
+	Commodus	Commodus	commodus
+	þe	þe	þu|þe|se
+	on	on	on|an
+	se	ðam	ðam|se
+	dæg	dagum	dæg|dah|dag
-	ricsian	rixode	None
+	fram	fram	fram
+	Romeburh	Rome.byrig	romeburh
+	to	to	toh|to
+	se	ðære	se
+	burh	byrig	burh|burg
+	þe	ðe	þu|þe|ðe
+	wesan	is	wesan|seon|is
+	gehatan	gehaten	hatan|gehatan
+	Alexandria	Alexandria	alexandria
+	and	And	and
+	he	he	he
+	he	hine	he
+	gesettan	gesette	gesette|gesettan
+	to	to	toh|to
+	heahgerefa	heahgerefan	heahgerefa
+	ofer	ofer	ofer
+	Alexandria	Alexandrian	alexandria
+	and	and	and
+	Egipte	Ægyfto	egipte
+	land	lande	land|finna
+	and	and	and
+	hatan	het	hettan|het|hedan|hatan
+	þæt	þæt	þæt|se
+	he	he	he
+	healdan	heolde	healdan
+	se	þa	þu|þa|se
+	Romanisc	romaniscan	romanisc
+	gesetnes	gesætnysse	gesetnes
+	þes	Ðæs	þes|se
-	þegen	ðægn	None
+	Philippus	Philippus	philippus
+	ne	n	næs|ne
-	wesan	æs	æs
+	na	na	na
+	gefullian	gefullod	gefullian
+	on	on	on|an
+	God	Gode	god
+	forðam	forþan	forðam
+	þe	þe	þu|þe|se
+	Cristendom	cristendom	cristendom
+	ne	n	næs|ne
-	wesan	æs	æs
+	þa	þa	þu|þa|se
+	git	gyt	git
+	geond	geond	geond
+	eal	eall	eall|eal
-	cunnan	cuð	None
+	and	and	and
+	se	seo	seon|seo|se
+	reðe	reþe	reþe|reðe
+	eahtnes	æhtnyss	eahtnes
+	þa	þa	þu|þa|se
+	git	gyt	git
+	ne	n	næs|ne
-	wesan	æs	æs
+	gestillan	gestylled	gestillan
+	his	His	his
+	wif	wif	wif
+	wesan	wæs	wesan|seon|beon
+	gecigan	gecyged	gecigan
+	Claudia	Claudia	claudia
+	be	be	be
+	se	þære	þære|se
+	he	he	he
+	gestrynan	gestrynde	gestrynan
+	twegen	twægen	twægen|twegen
+	sunu	suna	sunu
+	Auitus	Auitum	auitus
+	and	and	and
+	Særgius	Særgium	særgius
+	and	and	and
+	an	ane	an
+	dohtor	dohtor	dohtor
+	Eugenia	Eugenian	eugenia
+	þe	þe	þu|þe|se
+	we	we	we
+	ymb	embe	ymb
-	sprecan	spræcaþ	None
+	se	Ða	þa|se
+	befæstan	befæste	befæstan
+	se	se	se
+	fæder	fæder	fæder
+	Philippus	Philippus	philippus
+	to	to	toh|to
+	lar	lare	lar
+	þæt	þæt	þæt|se
+	heo	heo	heo
+	on	on	on|an
+	weoroldwisdom	woruldwysdome	weoroldwisdom
+	wesan	wære	wære|wær|wesan|seon|beon
+	geteon	getogen	teon|geteon
+	æfter	æfter	æfter
+	Grecisc	greciscre	grecisc
+	uþwitigung	uðwytegunge	uþwitigung
+	and	and	and
+	Læden	lædenre	læden
+	getingness	getingnysse	getingness
+	Eugenia	Eugenia	eugenia
+	þa	þa	þu|þa|se
+	se	þæt	þæt|se
+	æðele	æðele	æðele
-	mægden	mæden	mæden|mecgan
+	wel	wel	wel
+	þeon	þeah	þiсgan|þicgan|þeon|þeah
+	on	on	on|an
+	wisdom	wisdome	wisdom
+	and	and	and
+	on	on	on|an
+	uþwitigung	uðwytegunge	uþwitigung
+	þa	Þa	þa|se
+	becuman	becom	becuman
+	heo	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	on	on	on|an
+	hand	hand	hand
+	se	þæs	se
+	halig	halgan	halig|halga|haleg
+	apostol	apostoles	apostol
+	lar	lar	lar
+	Paulus	Paules	paulus
+	se	þæs	se
+	mære	mæran	mære|mæran
+	eal	ealles	eall|eal
+	manncynn	manncynnes	manncynn
+	lareow	lareowes	lareow
+	þa	Þa	þa|se
-	weorþan	wearð	None
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	mod	mod	mod
+	micel	mycclum	micel
+	onbryrdan	onbryrd	onbryrdan
+	þurh	þuruh	þurh
+	se	þa	þu|þa|se
-	halig	halgen	None
+	lar	lare	lar
+	þeah	þeah	þiсgan|þicgan|þeon|þeah
+	þe	ðe	þu|þe|ðe
+	heo	heo	heo
+	þa	þa	þu|þa|se
+	git	gyt	git
+	hæðen	hæðen	hæðen
+	wesan	wære	wære|wær|wesan|seon|beon
+	heo	Heo	heo
+	biddan	bæd	bædan|biddan
+	þa	þa	þu|þa|se
+	hire	hyre	hyrian|hyre|hyran|hyr|hire|heo
+	fæder	fæder	fæder
