abal	afol|es
æfer	
ælf	es
æs	es
æsp	an|e|æspe
æx	=
asce	acse|ahse|an|axe|axse|æsce [ æscean]|æxe
ate	átan|átena|ǽte
aþum	es
awa	áwo
bæl	es
bælc	es
banc	e
bannan	bannaþ|bannen|banst|banþ|benst|benþ|beón|beónn|beónnon|bonnan|bén|bénn|he banneþ|ic banne|ðú bannest
beado	beadowe|beadu|beaduwe|beadwe
bean	bién|e
bearo	-wa|-wum|bearo|bearowe|bearu|bearuwe|bearwas|bearwe|bearwes
befer	beofer|beofor|byfor|es
belg	belig|bilig|bylg|bylig|bælg|bælig|es
bell	an :|belle|e
beo	beóm|beón|beóna|beóum
beor	es
beost	býst|býsting|es
beot	es
bere	es
berie	an|berge|berige|berigie
bete	an|béte
bicce	an|bice|bicge
bin	binn|e
birce	beorc|berc|byrc|e|ean
blætan	[blǽt ]|blǽtte|blǽtted
blat	blátast|blátra
blegen	e
bleoh	bleó|bleós|blioh|blió
blot	es
bolca	an
bor	
borh	a|borgas|borge|borges|borh|um
bosg	bósig|bósih|es|or
bosum	bósm|es
bræs	es
brastl	es
bread	breód|es
bremel	brémbel|brémber|brǽmbel|es
brer	es
brerd	breard|breord|briord|es
bridel	bridles
burn	[ burnon|an|beornan  fervere]|burna|burne|e
byl	bíle|býle|es
byld	byldo|e
byme	an|béme|salpinx =|tuba
byrgan	birgan|birgean|birigan|byrian|byrigan|byrigean|de|ed [beorg ]
byrgan	beorgan|býrgean|býrian|býrigan|býrigean|de|ed
byrle	byrele|es
byrne	an
bysgu	a|bísegu|bísgu|bísigu|býsegu|býsigu|o:  u|u|um
cæg	an|cǽga|cǽge|cǽgia
cæppe	an
cærse	CRESS|an|cardămum =|cerse|nasturtium
caf	est|ost|ra|re
camp	comp|es
candel	CANDLE|candel|candela|candell|condel|condell|e|es|lampas =
canne	an
canon	CANON|canon =|es|regula
capun	CAPON|cape =|es|gallinaceus
carr	es|m.
cat	catt|es
ceaf	ceafu|cef|es
ceafer	CHAFER|brūchus =|ceafor|es
ceas	e|es
cen	es
ceo	ció
ceole	an|ciole
ceosel	ceosol|cisil|cysel|es|m?
ceren	cyrin|e
cerfille	CHERVIL|Lin|an|chærophyllum sylvestre|cyrfille|cærefolium =|cærfille
cider	es
cifan	cifen|cifon|cáf
cin	cyn|e
cine	an|cýne
cirm	cyrm|es
cla	clawa|clawe|clawena|clawu|clawum|cleó|clám
clæfre	an
clæman	de|ed
